Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Malta,2015,ERDF,37449766.55,0,37449766.55,83.09
Estonia,2010,ESF,79290962.29,15660693.16,63630269.13,39.31
Romania,2011,ERDF,415981335.4,0,415981335.4,16.74
United Kingdom,2014,ESF,318941460.59,0,318941460.59,70.15
Finland,2014,ERDF,133791750.08,0,133791750.08,87.58
United Kingdom,2007,ERDF,108320394.7,108320394.7,0,2.01
Greece,2010,CF,260137098.69,0,260137098.69,15.9
Luxembourg,2012,TOTAL,5667589.71,0,5667589.71,51.81
Austria,2008,ERDF,20401980.63,20401980.63,0,5.27
Slovakia,2015,ESF,360075996.99,0,360075996.99,93.85
Cyprus,2015,ERDF,18996143.99,0,18996143.99,95
Germany,2009,ERDF,1998385928.92,402699038.22,1595686890.7,17.52
United Kingdom,2008,ESF,134247531.84,134247531.84,0,4.98
Slovenia,2008,ESF,22670981.1,22670981.1,0,5
Italy,2015,TOTAL,4463666280.16,0,4463666280.16,79.35
Croatia,2007,TOTAL,0,0,0,0
Romania,2007,ESF,73682952.36,73682952.36,0,2.16
Hungary,2007,CF,208179582.01,208179582.01,0,2.5
Luxembourg,2011,TOTAL,12382086.43,0,12382086.43,40.58
Italy,2013,TOTAL,5405644722.61,0,5405644722.61,50.12
Bulgaria,2014,ERDF,427816742.11,0,427816742.11,66.19
Poland,2012,ESF,1657381687.52,0,1657381687.52,56.79
Malta,2008,TOTAL,28045141.73,28045141.73,0,5.51
Czech republic,2009,TOTAL,1725887142.92,1052104179.36,673782963.56,12.29
France,2013,TOTAL,2294477514.81,0,2294477514.81,59.95
Poland,2010,TOTAL,6850960263.85,0,6850960263.85,23.22
Finland,2007,ESF,12371281.28,12371281.28,0,2
Greece,2015,ESF,459633417.98,0,459633417.98,95.02
Hungary,2009,TOTAL,1839652587.88,984240626.52,855411961.36,13.05
Denmark,2011,ERDF,65794007.45,0,65794007.45,42.38
Portugal,2014,TOTAL,2979445343.53,0,2979445343.53,92.59
Poland,2014,CF,4497445613.92,0,4497445613.92,80.22
Hungary,2010,CF,559273795.68,166543665.6,392730130.08,19.88
Denmark,2010,ESF,21647823.33,0,21647823.33,22.86
Belgium,2012,ESF,193725178.08,0,193725178.08,50.53
Lithuania,2010,ERDF,367289939.84,0,367289939.84,37.32
Hungary,2007,TOTAL,533756229.67,533756229.67,0,2.17
Slovakia,2013,CF,551873200.1,0,551873200.1,47.23
Denmark,2012,TOTAL,35523500.62,0,35523500.62,45.25
Croatia,2008,CF,16049925,16049925,0,5.71
Lithuania,2014,ERDF,447994801.24,0,447994801.24,92.49
Ireland,2007,TOTAL,15014494.84,15014494.84,0,2
Czech republic,2009,ERDF,997552399.35,548362424.68,449189974.67,12.47
France,2015,ERDF,1154086088.09,0,1154086088.09,91.72
Bulgaria,2015,CF,513062506.1,0,513062506.1,80.51
Latvia,2014,TOTAL,712637779.61,0,712637779.61,81.69
Denmark,2007,ERDF,5095772.4,5095772.4,0,2
Austria,2009,TOTAL,165821272.72,30111964.54,135709308.18,19.32
Slovenia,2007,CF,35289246.45,35289246.45,0,2.5
Hungary,2009,ERDF,1029409537.08,505989753.28,523419783.8,13.22
Slovakia,2014,CF,403065761.11,0,403065761.11,57.57
Slovakia,2015,TOTAL,2895211353.76,0,2895211353.76,85.32
Spain,2014,ESF,336193645.2,0,336193645.2,68.21
Portugal,2015,CF,88053490.12,0,88053490.12,95
Slovenia,2012,TOTAL,545835639.13,0,545835639.13,50.31
Bulgaria,2009,CF,91321446.6,91321446.6,0,10.5
Lithuania,2015,CF,0,0,0,95
Slovakia,2012,ESF,247796910.76,0,247796910.76,40.25
Cyprus,2011,ESF,13194155.47,0,13194155.47,30.99
Germany,2010,ERDF,1717287948.18,0,1717287948.18,28.18
Netherlands,2007,ESF,16600054.74,16600054.74,0,2
Malta,2012,TOTAL,83300235.83,0,83300235.83,37.2
Belgium,2007,ERDF,14155364.82,14155364.82,0,1.43
Netherlands,2010,ERDF,82291614.83,0,82291614.83,18.67
Latvia,2007,TOTAL,98307835.44,98307835.44,0,2.17
Slovenia,2013,TOTAL,516215002.08,0,516215002.08,62.9
Estonia,2013,CF,322693433.25,0,322693433.25,82.07
Austria,2015,TOTAL,150288389.19,0,150288389.19,93.18
Belgium,2008,ERDF,35358793.78,35358793.78,0,5.02
Luxembourg,2013,ESF,4285659,0,4285659,67.43
Cyprus,2012,ERDF,19152925.98,0,19152925.98,41.91
Ireland,2011,ESF,67508279.17,0,67508279.17,60.43
Estonia,2012,CF,303519960.32,0,303519960.32,54.06
France,2009,TOTAL,1168711281.86,336230526.39,832480755.47,13.59
Ireland,2015,ERDF,29680587.76,0,29680587.76,90.96
Cyprus,2011,ERDF,21491196.04,0,21491196.04,35.06
Finland,2009,TOTAL,184114802.44,39899151.11,144215651.33,16.54
Hungary,2009,CF,551486635.86,333087331.2,218399304.66,13.15
France,2013,ERDF,1317737650.74,0,1317737650.74,60.1
Estonia,2013,TOTAL,678591038.78,0,678591038.78,81.28
Estonia,2008,CF,46069257.84,46069257.84,0,6.5
Malta,2010,ESF,5259247.04,0,5259247.04,13.76
Greece,2010,TOTAL,2270840607.59,0,2270840607.59,21.86
Cyprus,2011,TOTAL,68683927.95,0,68683927.95,37.39
Belgium,2013,ESF,228591506.41,0,228591506.41,71.85
Cyprus,2015,CF,22458137,0,22458137,86.2
Portugal,2007,ESF,130247757.3,130247757.3,0,1.9
EU28,2009,ERDF,13807625583.21,6097599768.31,7710025814.9,12.19
Hungary,2014,TOTAL,4201376911.53,0,4201376911.53,76.11
Bulgaria,2007,ERDF,64102644.32,64102644.32,0,2.05
Czech republic,2012,TOTAL,3110580771.91,0,3110580771.91,38.91
Estonia,2008,ERDF,55806333.18,55806333.18,0,5
Luxembourg,2014,ERDF,4156719.7,0,4156719.7,84.7
EU28,2009,CF,4231354402.92,2616005299.05,1615349103.87,12.36
Portugal,2008,CF,91798965.75,91798965.75,0,5
Luxembourg,2012,ERDF,1814097.87,0,1814097.87,53.16
Estonia,2012,ESF,105510673.41,0,105510673.41,73.49
Spain,2009,ESF,659886578.41,201433220.62,458453357.79,13.4
Austria,2009,ESF,109384414.29,13110314,96274100.29,25.86
France,2010,ERDF,821235127.04,0,821235127.04,22.75
EU28,2011,CF,5459897230.65,2460150,5457437080.65,28.23
United Kingdom,2011,ESF,417975758.51,0,417975758.51,40.71
Slovenia,2014,ESF,134880399.89,0,134880399.89,88.3
Portugal,2015,TOTAL,512825020.3,0,512825020.3,94.98
Ireland,2008,TOTAL,68201948.05,22521742.26,45680205.79,11.08
Luxembourg,2009,ESF,1954970.98,631091.65,1323879.33,12.74
Cyprus,2007,ERDF,5589227.08,5589227.08,0,2
Luxembourg,2009,TOTAL,2586062.63,1262183.3,1323879.33,10.12
Cyprus,2010,CF,31659292.11,0,31659292.11,28.08
Bulgaria,2011,ERDF,182421867.07,0,182421867.07,26.18
Slovenia,2010,ESF,104672421.37,0,104672421.37,23.28
Cyprus,2008,TOTAL,20505094.6,20505094.6,0,5.52
Malta,2011,TOTAL,81784723.54,0,81784723.54,27.29
Czech republic,2007,ESF,75490428.56,75490428.56,0,2.06
Cyprus,2008,CF,8528179.36,8528179.36,0,6.5
Estonia,2014,ESF,19978738.89,0,19978738.89,95
Romania,2011,TOTAL,698562149.18,0,698562149.18,16.89
Latvia,2009,TOTAL,424963649.83,181217905.36,243745744.47,14.89
Ireland,2012,ERDF,54711606.24,0,54711606.24,50.69
France,2014,TOTAL,2210411086.74,0,2210411086.74,76.27
Lithuania,2007,CF,57630893.58,57630893.58,0,2.5
Portugal,2014,ERDF,1541659765.61,0,1541659765.61,91.3
Spain,2015,ESF,580153092.13,0,580153092.13,75.53
Austria,2012,ERDF,29132198.48,0,29132198.48,41.79
Romania,2016,TOTAL,3663963114.63,0,3663963114.63,90.49
Croatia,2009,ERDF,89466.3,0,89466.3,6.3
Greece,2009,CF,142747581.15,92429021.6,50318559.55,8.86
Romania,2016,ERDF,2032931374.5,0,2032931374.5,92.07
Austria,2010,ESF,51980866.53,0,51980866.53,35.77
Slovakia,2008,ESF,44988094.68,44988094.68,0,5.05
Italy,2009,TOTAL,1332724274.55,699132885.21,633591389.34,9.77
Croatia,2009,ESF,0,0,0,0
Czech republic,2007,TOTAL,367997131.02,367997131.02,0,1.43
Slovenia,2007,TOTAL,89078822.01,89078822.01,0,2.17
Finland,2012,TOTAL,220369447.91,0,220369447.91,54.73
Greece,2011,ESF,512854537.14,0,512854537.14,26.6
Croatia,2010,ESF,0,0,0,0
Poland,2009,ERDF,2628590354.5,1333532928.72,1295057425.78,12.35
Hungary,2011,ESF,557845557.03,0,557845557.03,33.65
Spain,2008,ESF,241719864.66,241719864.66,0,5.08
Germany,2008,ESF,322373573.47,281419642.89,40953930.58,5.45
Finland,2008,ESF,18556921.92,18556921.92,0,5
Sweden,2012,ERDF,110051001.77,0,110051001.77,59.61
Greece,2013,TOTAL,4111843859.09,0,4111843859.09,69.58
Netherlands,2012,ESF,127244107.61,0,127244107.61,42.61
Slovakia,2016,ESF,17081062.1,0,17081062.1,95
Germany,2008,ERDF,499767349.11,483238845.81,16528503.3,5.11
Slovakia,2013,ERDF,660132510.46,0,660132510.46,57.17
France,2008,ERDF,297521513.49,297521513.49,0,5
Romania,2007,TOTAL,417022849.39,417022849.39,0,2.22
Greece,2014,ESF,1088683042.69,0,1088683042.69,84.49
Sweden,2013,ESF,101096345.69,0,101096345.69,59.37
