Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Lithuania,2009,ERDF,745159279.07,137678014.12,607481264.95,26.65
Finland,2008,ERDF,29322059.4,29322059.4,0,5
Luxembourg,2015,ERDF,2598961.63,0,2598961.63,95
Netherlands,2008,ESF,24900082.11,24900082.11,0,5
Malta,2010,TOTAL,65898714.92,0,65898714.92,17.55
Luxembourg,2014,ESF,3910171.52,0,3910171.52,82.92
Greece,2010,ESF,292445396.7,0,292445396.7,14.84
Portugal,2012,TOTAL,4584333422.13,0,4584333422.13,59.18
Portugal,2012,ERDF,2738472686.17,0,2738472686.17,59.44
Poland,2007,ESF,194143520,194143520,0,1.94
Estonia,2016,TOTAL,0,0,0,95
Hungary,2011,ERDF,2125873017.57,0,2125873017.57,39.41
Spain,2010,ERDF,2405311809.13,0,2405311809.13,20.63
Denmark,2011,TOTAL,94651647.47,0,94651647.47,38.28
Malta,2016,ERDF,26730330.71,0,26730330.71,95
United Kingdom,2009,ESF,548573178.55,111872943.21,436700235.34,17.2
Denmark,2010,ERDF,19953011.32,0,19953011.32,16.56
Greece,2007,ERDF,242986003.56,242986003.56,0,2
Sweden,2012,TOTAL,110051001.77,0,110051001.77,53.29
Ireland,2009,TOTAL,91905227.96,18768118.55,73137109.41,23.33
Portugal,2010,CF,236489848.24,0,236489848.24,17.42
Sweden,2011,ERDF,189649171.03,0,189649171.03,47.83
Greece,2007,ESF,84100000,84100000,0,1.93
Czech republic,2010,CF,523325347.82,0,523325347.82,19.35
Cyprus,2013,TOTAL,103937012.57,0,103937012.57,61.29
Luxembourg,2013,TOTAL,8091002.58,0,8091002.58,67.84
Ireland,2009,ERDF,49094911.77,9384059.3,39710852.47,18.08
Spain,2007,TOTAL,693154679.62,693154679.62,0,2.01
Estonia,2007,CF,28793286.15,28793286.15,0,2.5
United Kingdom,2010,ERDF,763568895.36,0,763568895.36,24.71
Romania,2011,ESF,183784028.32,0,183784028.32,20.19
France,2012,TOTAL,1149568492.9,0,1149568492.9,43.01
Portugal,2013,CF,857184279.42,0,857184279.42,71.91
Croatia,2007,CF,0,0,0,0
Belgium,2015,TOTAL,217781720.89,0,217781720.89,93.06
Sweden,2007,TOTAL,32521837.76,32521837.76,0,2
Malta,2015,TOTAL,69087830.27,0,69087830.27,81.61
Latvia,2009,ERDF,286572367.38,97600694.56,188971672.82,16.97
Latvia,2008,ESF,16519611.51,16519611.51,0,4.72
Croatia,2011,ESF,0,0,0,0
Germany,2013,ESF,1925319705.61,0,1925319705.61,73.82
Spain,2012,CF,228593893.71,0,228593893.71,63.77
Hungary,2008,ERDF,388783768.77,379492314.96,9291453.81,5.08
Croatia,2010,CF,1064780.96,0,1064780.96,6.11
Netherlands,2009,ERDF,31199477.32,20750000,10449477.32,8.76
EU28,2007,ERDF,3555711828.3,3555711828.3,0,1.85
Hungary,2014,CF,1859824613.94,0,1859824613.94,73.76
Sweden,2013,TOTAL,250369415.89,0,250369415.89,68.69
Luxembourg,2012,ESF,3853491.84,0,3853491.84,50.46
Bulgaria,2008,CF,91321446.59,91321446.59,0,6.5
Estonia,2007,TOTAL,73827854.85,73827854.85,0,2.17
Bulgaria,2014,TOTAL,1066579296.18,0,1066579296.18,66.23
France,2010,TOTAL,1356963324.55,0,1356963324.55,23.61
Finland,2015,TOTAL,92469027.25,0,92469027.25,94.98
Sweden,2010,ERDF,92736156.78,0,92736156.78,27.54
France,2011,ESF,357951571.19,0,357951571.19,31.39
Italy,2009,ERDF,699082379.08,525682687.75,173399691.33,8.34
Romania,2013,ESF,711355238.88,0,711355238.88,44.32
Bulgaria,2009,TOTAL,266945129.76,266945129.76,0,9.63
Estonia,2007,ERDF,37204222.12,37204222.12,0,2
Malta,2015,ESF,13101789.7,0,13101789.7,81.13
Slovakia,2011,ESF,140994735.54,0,140994735.54,23.55
Croatia,2012,ESF,0,0,0,0
Croatia,2011,TOTAL,16115828.17,6705000,9410828.17,7.37
Bulgaria,2010,ESF,42897519.45,0,42897519.45,12.68
EU28,2011,ERDF,23398600951.04,4244850,23394356101.04,34.71
Malta,2013,TOTAL,109883899.64,0,109883899.64,50.28
Ireland,2010,ESF,52053222.33,0,52053222.33,42.44
Cyprus,2008,ERDF,8383840.62,8383840.62,0,5
Estonia,2011,ERDF,163209635.08,0,163209635.08,49.87
Cyprus,2009,CF,14360284.59,8528179.36,5832105.23,13.24
Hungary,2014,ERDF,1447012233.83,0,1447012233.83,76.28
Poland,2008,ERDF,1014665841.86,1014665841.86,0,4.79
Czech republic,2015,ESF,800532992.41,0,800532992.41,88.48
Slovenia,2012,ERDF,324390328.83,0,324390328.83,63.05
Estonia,2013,ERDF,291653919.47,0,291653919.47,78.98
Cyprus,2013,CF,3519904.51,0,3519904.51,49.95
Italy,2008,ERDF,719262543.29,719262543.29,0,5.01
Italy,2011,TOTAL,1895858284.37,0,1895858284.37,21.74
Netherlands,2015,ESF,139537632.25,0,139537632.25,94.12
Estonia,2014,CF,144386698,0,144386698,94.61
Portugal,2009,TOTAL,1708335266.97,535289012.83,1173046254.14,13
Romania,2016,ESF,635481551.37,0,635481551.37,87.95
Bulgaria,2007,TOTAL,144887745.71,144887745.71,0,2.2
Romania,2015,CF,905647284.61,0,905647284.61,74.4
Bulgaria,2011,CF,269558062.33,0,269558062.33,22.53
Slovenia,2010,ERDF,252704619.29,0,252704619.29,26.13
Spain,2011,CF,454140046.17,0,454140046.17,57.32
United Kingdom,2009,ERDF,296491907.88,135400493.43,161091414.45,10.53
Ireland,2011,TOTAL,90605397.43,0,90605397.43,48.27
Latvia,2014,ERDF,388684338.2,0,388684338.2,79.29
Greece,2007,TOTAL,401029220.84,401029220.84,0,1.98
Sweden,2008,TOTAL,48782756.64,48782756.64,0,5
Poland,2015,ESF,778939813.53,0,778939813.53,95
Hungary,2012,ESF,375891049.33,0,375891049.33,44.06
France,2011,ERDF,1120578122.93,0,1120578122.93,36.67
Finland,2012,ERDF,104391510.45,0,104391510.45,52.27
Czech republic,2012,ESF,299544273.63,0,299544273.63,30.29
Czech republic,2007,CF,115090938.82,115090938.82,0,1.33
Bulgaria,2007,CF,57075904.13,57075904.13,0,2.5
Latvia,2015,TOTAL,602880844.93,0,602880844.93,95
Finland,2011,ESF,109185321.18,0,109185321.18,39.86
Spain,2009,CF,88580325.2,88580325.2,0,7.5
France,2008,TOTAL,461315137.81,461315137.81,0,4.96
Estonia,2016,ERDF,0,0,0,95
Romania,2014,ERDF,1864404745.59,0,1864404745.59,58.25
Hungary,2015,ERDF,1393506911.87,0,1393506911.87,87.31
Hungary,2013,ERDF,1813771291.65,0,1813771291.65,64.83
Germany,2015,ESF,674850487.12,0,674850487.12,92.5
Czech republic,2007,ERDF,177415763.64,177415763.64,0,1.31
Spain,2008,CF,106296390.24,106296390.24,0,5
Bulgaria,2010,TOTAL,397131871.63,0,397131871.63,15.65
Croatia,2008,ERDF,26655075,26655075,0,6.28
Austria,2007,TOTAL,24089571.62,24089571.62,0,2.06
Germany,2007,ERDF,322159230.54,322159230.54,0,2
Netherlands,2013,ESF,158936774.23,0,158936774.23,61.76
Slovenia,2007,ERDF,38675588.16,38675588.16,0,2
Austria,2007,ESF,10488251.2,10488251.2,0,2
Latvia,2012,CF,214510232.64,0,214510232.64,46.07
Latvia,2010,ESF,157212663.63,22026148.68,135186514.95,38.87
Luxembourg,2008,ESF,757309.98,757309.98,0,5
Poland,2011,ERDF,5239235053.46,0,5239235053.46,40.5
Luxembourg,2013,ERDF,3805343.58,0,3805343.58,68.24
Portugal,2007,TOTAL,426509451.48,426509451.48,0,1.99
Greece,2012,ERDF,1691761508,0,1691761508,53.58
Bulgaria,2015,ESF,145158785.55,0,145158785.55,94.49
Sweden,2010,TOTAL,175258083.9,0,175258083.9,26.93
Slovakia,2008,CF,155949542.51,155949542.51,0,6.5
Latvia,2015,ERDF,378224646.59,0,378224646.59,95
Belgium,2007,ESF,21464351.88,21464351.88,0,2
Germany,2011,ESF,973691674.96,0,973691674.96,39.81
Slovenia,2007,ESF,15113987.4,15113987.4,0,2
Latvia,2013,TOTAL,623654432.28,0,623654432.28,65.96
Portugal,2011,ESF,1139249926.74,0,1139249926.74,49.37
Netherlands,2012,TOTAL,198526218.08,0,198526218.08,45.58
Malta,2013,ESF,27155612.07,0,27155612.07,55.19
Austria,2007,ERDF,13601320.42,13601320.42,0,2.11
Latvia,2013,CF,204852438.21,0,204852438.21,59.37
Slovakia,2012,ERDF,921147054.92,0,921147054.92,46.35
Greece,2010,ERDF,1718258112.2,0,1718258112.2,26.19
Greece,2008,ESF,126150000,126150000,0,4.82
Croatia,2012,ERDF,13197079.17,0,13197079.17,12.81
Sweden,2008,ERDF,28036221.9,28036221.9,0,5
Romania,2009,ERDF,457570431.93,359058642.64,98511789.29,10.24
Latvia,2010,ERDF,139219269.11,0,139219269.11,22.75
Latvia,2013,ERDF,327225937.25,0,327225937.25,63.15
Sweden,2011,ESF,128896112.36,0,128896112.36,44.75
Greece,2011,ERDF,1635491224.13,0,1635491224.13,39.65
Italy,2007,ERDF,332102832.06,332102832.06,0,1.58
Poland,2012,CF,3124607865.57,0,3124607865.57,44.78
Denmark,2008,TOTAL,15287317.17,15287317.17,0,5
Poland,2016,CF,0,0,0,100
Czech republic,2008,TOTAL,1079418429.76,1079418429.76,0,5.61
Slovakia,2009,CF,158630421.9,155949542.52,2680879.38,10.57
Poland,2010,CF,1328185276.19,0,1328185276.19,19.45
Italy,2011,ERDF,1187602660.36,0,1187602660.36,19.29
Finland,2007,ERDF,19548039.6,19548039.6,0,2
Poland,2011,TOTAL,9415548746.59,0,9415548746.59,37.23
Cyprus,2010,ERDF,22291905.61,0,22291905.61,27.37
Cyprus,2009,TOTAL,59528115.68,24497399.68,35030716,15.24
France,2007,ESF,105933775.18,105933775.18,0,1.93
Croatia,2014,ESF,43998399.76,0,43998399.76,28.87
Malta,2007,ERDF,8879560.62,8879560.62,0,2
Portugal,2013,TOTAL,4174260470.07,0,4174260470.07,78.67
Romania,2012,CF,427242258.93,0,427242258.93,21.92
France,2015,TOTAL,2147350517.81,0,2147350517.81,92.12
Poland,2010,ERDF,4556059399.71,0,4556059399.71,25.44
Portugal,2011,TOTAL,2684285532.94,0,2684285532.94,37.77
Croatia,2015,ESF,21102931.23,0,21102931.23,42.71
Poland,2008,CF,887054150.96,887054150.96,0,6.44
Czech republic,2009,CF,576037780.85,352760897.56,223276883.29,13.29
Ireland,2014,ERDF,48431383.07,0,48431383.07,83.05
Greece,2008,ERDF,364479005.34,364479005.34,0,5
Romania,2014,CF,1554586466.98,0,1554586466.98,60.51
Slovakia,2011,TOTAL,1022233984.8,0,1022233984.8,27.8
Netherlands,2010,TOTAL,150162998.38,0,150162998.38,17.38
Lithuania,2015,TOTAL,86238318.34,0,86238318.34,95
Croatia,2011,CF,4842095.52,2460150,2381945.52,7.83
Bulgaria,2014,ESF,288281819.09,0,288281819.09,82.18
Denmark,2009,ESF,23846199.91,6369715.48,17476484.43,14.36
Latvia,2008,ERDF,73200520.92,73200520.92,0,5.07
Bulgaria,2009,ERDF,128205288.64,128205288.64,0,9.21
Hungary,2010,TOTAL,1958426117.44,311707207.64,1646718909.8,21.02
Portugal,2011,CF,74487855.43,0,74487855.43,19.85
Portugal,2010,TOTAL,2618984420.9,0,2618984420.9,25.23
Italy,2008,ESF,208140236.88,208140236.88,0,4.99
Denmark,2013,ESF,46669932.01,0,46669932.01,58.03
France,2009,ESF,561062239.54,134863699.77,426198539.77,15.12
Denmark,2014,TOTAL,134429401.74,0,134429401.74,80.79
Italy,2012,ESF,1135171401.35,0,1135171401.35,45.45
Italy,2007,TOTAL,470862989.98,470862989.98,0,1.69
Germany,2009,TOTAL,3112147884.82,637215407.35,2474932477.47,17.46
Sweden,2015,TOTAL,78408757.46,0,78408757.46,94.71
Cyprus,2015,TOTAL,46940944.43,0,46940944.43,91.93
Denmark,2012,ERDF,21418690.89,0,21418690.89,50.79
Slovenia,2012,CF,87218988.82,0,87218988.82,32.82
Austria,2009,ERDF,56436858.43,17001650.54,39435207.89,14.01
Bulgaria,2013,TOTAL,886207011.14,0,886207011.14,50.05
Spain,2014,CF,646438590.65,0,646438590.65,90.93
Netherlands,2015,TOTAL,174910207.63,0,174910207.63,91.17
Bulgaria,2008,ERDF,96153966.48,96153966.48,0,5.12
Ireland,2011,ERDF,23097118.26,0,23097118.26,36.11
Croatia,2013,TOTAL,68193301.48,0,68193301.48,18.27
Malta,2012,CF,24929371.91,0,24929371.91,40.26
Denmark,2012,ESF,14104809.73,0,14104809.73,39.72
Austria,2010,TOTAL,118341338.75,0,118341338.75,29.43
Belgium,2013,ERDF,176398401.55,0,176398401.55,65.67
Slovenia,2009,CF,136151652.85,56462794.32,79688858.53,16.15
Cyprus,2013,ERDF,75125314.29,0,75125314.29,68.79
Slovakia,2010,TOTAL,1022226392.65,0,1022226392.65,18.89
Netherlands,2013,TOTAL,303219445.67,0,303219445.67,63.85
Bulgaria,2008,TOTAL,223039208.96,223039208.96,0,5.58
Slovakia,2016,CF,226435185.92,0,226435185.92,95
Romania,2008,ESF,110524428.54,110524428.54,0,5.41
Czech republic,2010,ESF,231090006.04,0,231090006.04,15.58
Estonia,2009,TOTAL,474611146.98,136138395.24,338472751.74,19.45
Ireland,2013,TOTAL,73064349.8,0,73064349.8,70.07
Denmark,2007,TOTAL,10191544.78,10191544.78,0,2
Malta,2008,CF,11365800.8,11365800.8,0,6.5
Luxembourg,2007,TOTAL,504873.32,504873.32,0,1
Romania,2015,TOTAL,2591361157.7,0,2591361157.7,70.93
Romania,2007,ERDF,179529321.32,179529321.32,0,2.03
Latvia,2012,ESF,112274801.81,0,112274801.81,79.3
Italy,2007,ESF,138760157.92,138760157.92,0,2
Lithuania,2015,ERDF,86238318.34,0,86238318.34,95
Netherlands,2011,TOTAL,269714755.47,0,269714755.47,33.62
Greece,2014,ERDF,2111441387.39,0,2111441387.39,89.15
Ireland,2008,ESF,56941076.89,11260871.1,45680205.79,17.17
Italy,2012,ERDF,1390346902.68,0,1390346902.68,25.91
Denmark,2014,ERDF,76313302.39,0,76313302.39,80.74
Estonia,2007,ESF,7830346.58,7830346.58,0,2
Croatia,2007,ESF,0,0,0,0
Croatia,2013,CF,24952376.59,0,24952376.59,21.05
Estonia,2016,ESF,0,0,0,95
Spain,2011,ESF,1531426506.82,0,1531426506.82,37.27
EU28,2010,CF,5573771879.75,397527001,5176244878.75,20.38
Spain,2009,TOTAL,1944573421.05,866443349.66,1078130071.39,10.65
Slovenia,2009,ERDF,155991740.44,77351176.32,78640564.12,13.07
Belgium,2008,TOTAL,67555321.6,67555321.6,0,5.01
United Kingdom,2010,TOTAL,1401527893.87,0,1401527893.87,27.75
Estonia,2011,CF,47532585.78,0,47532585.78,27.7
Bulgaria,2009,ESF,47418394.52,47418394.52,0,9.04
Netherlands,2008,ERDF,24900000,24900000,0,5
Estonia,2009,ERDF,332590657.5,74408444.24,258182213.26,22.88
Czech republic,2011,TOTAL,1659206098.99,0,1659206098.99,26.86
Czech republic,2011,ESF,240768874.6,0,240768874.6,22.13
Luxembourg,2008,ERDF,1262183.3,1262183.3,0,5
Greece,2011,CF,494714154.46,0,494714154.46,29.28
Slovenia,2012,ESF,134226321.48,0,134226321.48,50.4
Luxembourg,2010,ESF,437917.99,0,437917.99,14.48
Estonia,2008,ESF,11745519.87,11745519.87,0,5
Lithuania,2013,ERDF,535291796.83,0,535291796.83,79.48
Denmark,2014,ESF,58116099.35,0,58116099.35,80.84
Hungary,2015,CF,1597961700.24,0,1597961700.24,92.98
Malta,2009,ESF,4551429.47,4480000,71429.47,9.06
Bulgaria,2008,ESF,35563795.89,35563795.89,0,5.02
Belgium,2012,TOTAL,349602359.64,0,349602359.64,49.22
Finland,2010,TOTAL,147719664.28,0,147719664.28,25.79
Portugal,2014,ESF,819153785.97,0,819153785.97,94.95
Poland,2008,TOTAL,2192935272.82,2192935272.82,0,5.35
Portugal,2009,CF,143467150.29,76499138.13,66968012.16,9.69
Denmark,2009,ERDF,9504763.82,6369715.5,3135048.32,8.73
Latvia,2012,TOTAL,714175950.33,0,714175950.33,52.2
Finland,2015,ESF,20304983.6,0,20304983.6,95
Slovenia,2013,ESF,151477018.29,0,151477018.29,70.45
Greece,2009,TOTAL,1144178860.44,513196556.29,630982304.15,10.62
Austria,2014,ESF,50428816.33,0,50428816.33,95
Malta,2008,ESF,3360000,3360000,0,5
Austria,2015,ERDF,150288389.19,0,150288389.19,91.7
Austria,2011,ESF,43729800.28,0,43729800.28,44.11
United Kingdom,2010,ESF,637958998.51,0,637958998.51,31.4
EU28,2012,CF,8632321736.93,0,8632321736.93,40.64
Romania,2007,CF,163810575.71,163810575.71,0,2.51
Italy,2012,TOTAL,2525518304.03,0,2525518304.03,30.77
Lithuania,2008,ERDF,103258510.59,103258510.59,0,5
Lithuania,2010,CF,323136916.04,46104714.86,277032201.18,31.16
Romania,2009,ESF,148882455.69,147365904.72,1516550.97,9.77
Luxembourg,2007,ERDF,0,0,0,0
Latvia,2014,ESF,0,0,0,95
EU28,2008,CF,2788941543.12,2788941543.12,0,6.28
Croatia,2009,TOTAL,144694.8,0,144694.8,4.99
Finland,2012,ESF,115977937.46,0,115977937.46,58.61
United Kingdom,2009,TOTAL,845065086.43,247273436.64,597791649.79,13.56
Slovakia,2012,CF,353484928.08,0,353484928.08,33.08
Spain,2013,ESF,767346691.05,0,767346691.05,63.98
United Kingdom,2008,ERDF,162480592.05,162480592.05,0,5.03
Malta,2012,ESF,8925604.51,0,8925604.51,30.94
Luxembourg,2015,TOTAL,5647587.66,0,5647587.66,95
Malta,2010,ERDF,28101084.15,0,28101084.15,15.7
Romania,2015,ESF,733665103.08,0,733665103.08,69.3
Slovakia,2010,ERDF,573472941.85,0,573472941.85,18.81
Greece,2011,TOTAL,2643059915.73,0,2643059915.73,34.94
Ireland,2012,ESF,35873805.04,0,35873805.04,69.98
Sweden,2010,ESF,82521927.12,0,82521927.12,26.12
Belgium,2010,ERDF,96618910.75,0,96618910.75,27.03
Romania,2012,ESF,110860554.11,0,110860554.11,23.45
Latvia,2011,ERDF,257870653.19,0,257870653.19,33.46
Slovakia,2007,ERDF,119245564.62,119245564.62,0,1.95
Ireland,2010,TOTAL,96639681.74,0,96639681.74,36.2
Slovenia,2008,TOTAL,137147157.66,137147157.66,0,5.52
Belgium,2015,ESF,163015107.32,0,163015107.32,92.51
Estonia,2015,ERDF,86248373.04,0,86248373.04,95
Netherlands,2007,ERDF,16600000,16600000,0,2
Croatia,2010,TOTAL,4258140.63,0,4258140.63,5.49
Slovenia,2010,CF,107768123.79,0,107768123.79,23.78
Denmark,2010,TOTAL,41600834.65,0,41600834.65,19.71
United Kingdom,2008,TOTAL,296728123.89,296728123.89,0,5.01
Estonia,2009,ESF,55023992.5,15660693.16,39363299.34,19.05
Cyprus,2014,ESF,31705093.8,0,31705093.8,90.42
Estonia,2015,CF,4481119.76,0,4481119.76,95
Greece,2009,ESF,145104149.14,117035030.24,28069118.9,8.14
Poland,2008,ESF,291215280,291215280,0,4.85
France,2012,ESF,580776605.92,0,580776605.92,41.96
France,2008,ESF,163793624.32,163793624.32,0,4.91
Croatia,2007,ERDF,0,0,0,0
Portugal,2010,ESF,906332832.13,0,906332832.13,32.74
United Kingdom,2007,TOTAL,197818749.26,197818749.26,0,2
Finland,2013,TOTAL,334713134.06,0,334713134.06,75.7
Malta,2016,CF,35300133.67,0,35300133.67,95
Belgium,2010,ESF,8265347.76,0,8265347.76,19.67
Portugal,2011,ERDF,1470547750.77,0,1470547750.77,35.62
Belgium,2008,ESF,32196527.82,32196527.82,0,5
Ireland,2013,ERDF,73064349.8,0,73064349.8,70.15
Latvia,2012,ERDF,387390915.88,0,387390915.88,49.55
Belgium,2014,ESF,58471808.36,0,58471808.36,77.31
Lithuania,2009,CF,245405979.84,92209429.72,153196550.12,17.15
Hungary,2007,ESF,72581771.02,72581771.02,0,2.01
Latvia,2010,TOTAL,463964328.01,52821679.74,411142648.27,25.13
Lithuania,2012,ERDF,511609098.86,0,511609098.86,63.93
EU28,2008,ERDF,6044750685.71,6018930728.6,25819957.11,5
Malta,2015,CF,18536274.02,0,18536274.02,79.47
Sweden,2007,ERDF,18690814.6,18690814.6,0,2
Sweden,2008,ESF,20746534.74,20746534.74,0,5
Italy,2010,TOTAL,1445935633.63,0,1445935633.63,14.95
Ireland,2014,TOTAL,72579560.91,0,72579560.91,79.74
Latvia,2013,ESF,91576056.82,0,91576056.82,95
EU28,2015,ESF,7661634486.29,0,7661634486.29,89.21
Finland,2010,ESF,36816427.07,0,36816427.07,22.21
Estonia,2014,ERDF,211801665.9,0,211801665.9,90.36
Portugal,2015,ESF,4334808.92,0,4334808.92,95.02
Romania,2010,ESF,171282418.31,147365904.72,23916513.59,14.8
Malta,2007,TOTAL,18223186.12,18223186.12,0,2.17
Luxembourg,2011,ERDF,7153624.39,0,7153624.39,45.98
Belgium,2010,TOTAL,104884258.51,0,104884258.51,23.19
Greece,2007,CF,73943217.28,73943217.28,0,2
Hungary,2013,ESF,437501095.4,0,437501095.4,56.17
Ireland,2009,ESF,42810316.19,9384059.25,33426256.94,28.57
Germany,2011,TOTAL,3199322165.47,0,3199322165.47,41.2
Slovakia,2007,ESF,29992063.12,29992063.12,0,2.02
Poland,2007,CF,554408844.35,554408844.35,0,2.48
Bulgaria,2015,ERDF,595444506.49,0,595444506.49,85.2
Romania,2014,ESF,117815418.04,0,117815418.04,47.77
Poland,2013,ESF,1513081541.31,0,1513081541.31,71.91
Cyprus,2010,ESF,12980070.62,0,12980070.62,19.98
Spain,2007,CF,70864260.16,70864260.16,0,2
Slovakia,2014,TOTAL,852949366.16,0,852949366.16,60.11
Malta,2014,TOTAL,194056603.98,0,194056603.98,73.38
Cyprus,2014,TOTAL,140763139.66,0,140763139.66,84.27
Ireland,2012,TOTAL,90585411.28,0,90585411.28,60.34
Germany,2007,ESF,187613095.26,187613095.26,0,2
Sweden,2007,ESF,13831023.16,13831023.16,0,2
Malta,2009,CF,11365800.8,11365800.8,0,10.5
Ireland,2013,ESF,0,0,0,69.98
Finland,2011,TOTAL,241478100.29,0,241478100.29,40.92
Hungary,2014,ESF,894540063.76,0,894540063.76,80.94
Ireland,2010,ERDF,44586459.41,0,44586459.41,29.96
Romania,2008,CF,262096921.1,262096921.1,0,6.53
Austria,2012,ESF,127612653.38,0,127612653.38,68.44
Spain,2010,TOTAL,4077622275.7,0,4077622275.7,22.46
Hungary,2010,ESF,215919993.59,145163542.04,70756451.55,18.21
France,2014,ESF,819024169.39,0,819024169.39,74.64
Austria,2014,ERDF,81839972.53,0,81839972.53,68.42
Spain,2015,CF,144043281.13,0,144043281.13,95
Austria,2010,ERDF,66360472.22,0,66360472.22,24.28
Slovenia,2008,ERDF,58013382.24,58013382.24,0,5
Belgium,2009,ERDF,120522675.05,24757079.32,95765595.73,17.23
Bulgaria,2013,ESF,308282185.67,0,308282185.67,57.75
Cyprus,2014,ERDF,54246242.58,0,54246242.58,88.2
Finland,2013,ESF,123425596.89,0,123425596.89,78.56
France,2016,ESF,125546113.66,0,125546113.66,95
Croatia,2010,ERDF,3193359.67,0,3193359.67,7.05
Italy,2013,ESF,1239165928.15,0,1239165928.15,63.28
Austria,2011,ERDF,83961663.78,0,83961663.78,37.28
Italy,2009,ESF,633641895.47,173450197.46,460191698.01,14.11
Slovakia,2009,ESF,86558867.54,59984126.24,26574741.3,10.89
Sweden,2013,ERDF,149273070.2,0,149273070.2,75.58
Bulgaria,2011,TOTAL,539323917.85,0,539323917.85,23.83
Estonia,2015,TOTAL,90729492.8,0,90729492.8,95
Hungary,2011,CF,759628315.1,0,759628315.1,29.01
France,2007,ERDF,105212139.56,105212139.56,0,1.31
Slovenia,2010,TOTAL,465145164.45,0,465145164.45,24.8
Lithuania,2015,ESF,0,0,0,95
Cyprus,2012,CF,9105775.82,0,9105775.82,48.3
Bulgaria,2012,TOTAL,843560545.92,0,843560545.92,36.62
Sweden,2009,TOTAL,181387156.3,40652297.22,140734859.08,16.15
Belgium,2015,ERDF,54766613.57,0,54766613.57,93.65
Austria,2011,TOTAL,127691464.06,0,127691464.06,40.34
Netherlands,2010,ESF,67871383.55,0,67871383.55,16.08
Hungary,2015,TOTAL,3009882723.02,0,3009882723.02,88.37
Malta,2014,ERDF,118785358.58,0,118785358.58,74.66
Czech republic,2008,ESF,113235642.84,113235642.84,0,5.14
Malta,2011,ESF,10316696.87,0,10316696.87,22.97
Estonia,2014,TOTAL,376167102.79,0,376167102.79,92.33
Cyprus,2012,ESF,14178120.52,0,14178120.52,42.83
Germany,2009,ESF,1113761955.9,234516369.13,879245586.77,17.35
Netherlands,2014,ERDF,149565063.93,0,149565063.93,83.96
United Kingdom,2015,ESF,773607436.07,0,773607436.07,87.38
Portugal,2010,ERDF,1476161740.53,0,1476161740.53,22.83
Luxembourg,2016,ERDF,0,0,0,100
Poland,2016,ESF,0,0,0,100
Malta,2016,TOTAL,62030464.38,0,62030464.38,95.67
Malta,2016,ESF,0,0,0,100
Denmark,2016,ESF,0,0,0,100
Luxembourg,2016,TOTAL,0,0,0,100
Luxembourg,2016,ESF,0,0,0,100
Denmark,2016,TOTAL,0,0,0,100
Denmark,2016,ERDF,0,0,0,100
Finland,2016,ESF,0,0,0,99.98
Latvia,2016,ESF,0,0,0,100
Portugal,2016,ESF,0,0,0,100.02
Sweden,2016,ERDF,4739848.51,0,4739848.51,97.96
Netherlands,2016,ESF,7280466.41,0,7280466.41,99.23
Ireland,2016,ESF,22691862.67,0,22691862.67,100
Germany,2014,TOTAL,3182120676.76,0,3182120676.76,83.32
Spain,2014,ERDF,2491031202.36,0,2491031202.36,71.89
United Kingdom,2014,ERDF,1294844193.92,0,1294844193.92,75.58
Slovenia,2015,CF,434133484.57,0,434133484.57,95
United Kingdom,2013,ERDF,299911499.65,0,299911499.65,51.54
Croatia,2014,ERDF,99992581,68520000,31472581,46.53
Spain,2014,TOTAL,3473663438.21,0,3473663438.21,73
Spain,2012,TOTAL,5252970760.16,0,5252970760.16,51.88
Spain,2012,ERDF,3673468651.79,0,3673468651.79,49.22
Croatia,2015,CF,43531480.81,0,43531480.81,67.19
Slovenia,2014,CF,338557166.98,0,338557166.98,64.24
EU28,2012,ERDF,24690705840.46,0,24690705840.46,47.56
Germany,2012,TOTAL,3291270505.84,0,3291270505.84,54.13
Poland,2013,ERDF,5525909953.68,0,5525909953.68,71.66
United Kingdom,2012,TOTAL,1195674736.2,0,1195674736.2,50.99
Greece,2015,CF,331291071.41,0,331291071.41,98.85
Spain,2015,ERDF,3099386602.65,0,3099386602.65,85.34
EU28,2015,ERDF,22555749149.46,0,22555749149.46,88.32
Spain,2015,TOTAL,3823582975.91,0,3823582975.91,84.07
EU28,2013,CF,11177917717.49,0,11177917717.49,56.72
Poland,2014,TOTAL,11686981115.96,0,11686981115.96,85.25
Greece,2016,TOTAL,386660271.54,0,386660271.54,100
United Kingdom,2013,TOTAL,571783920.35,0,571783920.35,56.78
Croatia,2014,CF,86149873.15,59920000,26229873.15,51.7
United Kingdom,2015,ERDF,697403674.4,0,697403674.4,88.53
Spain,2013,TOTAL,3815875527.75,0,3815875527.75,62.94
Spain,2013,ERDF,2732400906.48,0,2732400906.48,61.08
Slovenia,2014,ERDF,298282490.11,0,298282490.11,91.91
Czech republic,2013,TOTAL,3522506023.77,0,3522506023.77,52.55
EU28,2014,CF,12816891709.8,59920000,12756971709.8,75.15
United Kingdom,2014,TOTAL,1613785654.51,0,1613785654.51,73.11
Poland,2015,TOTAL,6458114942.08,0,6458114942.08,94.86
Poland,2012,ERDF,5316207350.23,0,5316207350.23,55.78
United Kingdom,2012,ERDF,464281757.63,0,464281757.63,45.98
